Indicator,Energy_Type,Technology,Unit,year,value
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2012,77825.01000000001
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2012,1004436.728
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2012,103259.672
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2012,267458.99
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2013,16078532.3419651
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2013,399098.496
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2013,3883843.0239999997
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2013,137796.036
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2013,636972.416
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2013,3753699.6586
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2013,85294.359
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2013,1050591.145
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2013,140735.926
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2013,300419.61699999997
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2014,16164943.1104467
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2014,430483.944
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2014,3991302.754
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2014,194156.24
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2014,712615.971
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2014,3883162.1406
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2014,91211.812
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2014,1088344.847
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2014,181128.171
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2014,350260.614
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2015,16327789.7191744
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2015,457577.865
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2015,3991956.753
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2015,255207.083
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2015,828452.383
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2015,3975677.6696
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2015,97290.95
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2015,1121028.635
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2015,229857.108
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2015,417874.982
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2016,16543727.1098465
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2016,472369.999
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2016,4132736.263
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2016,328714.123
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2016,953349.849
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2016,4074312.4626
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2016,106092.998
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2016,1152493.87
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2016,302840.06200000003
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2016,469067.13
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2017,16876865.7948334
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2017,494310.09500000003
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2017,4189815.805
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2017,443529.49
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2017,1132077.325
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2017,4167341.4642000003
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2017,111892.534
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2017,1176263.469
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2017,400049.233
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2017,517306.761
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2018,17354293.624952402
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2018,518363.784
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2018,4319688.414
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2018,567335.026
